Comm_name,t_switch,t_target,M0,n_present,n_producers,output,P_final,glv1_failed,glv2_failed
comm_622,8.73017496,8.765957524020974,3.190971907951606,8,3,2.7617839509497104,2.761783950949709,FALSE,FALSE
comm_623,9.010426981944995,9.074841678619215,5.682832987068103,10,4,16.52723661921106,16.527236619211063,FALSE,FALSE
comm_624,7.465625626076629,7.429104670229174,2.4849844063042155,10,5,9.362108476806384,9.362108476806378,FALSE,FALSE
comm_625,9.316859397553523,9.344113493172165,4.183381982603157,9,3,6.294433058124287,6.294433058124278,FALSE,FALSE
comm_626,10.31301869958956,10.24291993962965,14.205912859979255,11,5,17.66130561793674,17.661305617936744,FALSE,FALSE
comm_627,9.180166831,9.015141443702197,5.367536374545393,9,4,7.8983277799486356,7.898327779948638,FALSE,FALSE
comm_628,10.413978943752555,10.165274503208718,7.203094612879426,8,5,13.895521927173837,13.895521927173835,FALSE,FALSE
comm_629,12.190763882428483,12.19310187800251,9.554078522,8,3,5.04012678,5.040126780231689,FALSE,FALSE
comm_630,9.197830869172938,9.089858794042575,6.9823074633516296,11,5,9.458147777566953,9.458147777566957,FALSE,FALSE
comm_631,11.88929959,11.896790232187366,12.276348427653529,9,3,17.201106570074536,17.201106570074547,FALSE,FALSE
comm_632,11.201164149263658,11.951644566566594,13.531656951232684,11,5,7.738803850283232,7.738803850283234,FALSE,FALSE
comm_633,11.729561106311195,11.508676576637264,6.3508210163025085,8,3,7.668521486,7.668521485538529,FALSE,FALSE
comm_634,9.066298810857726,9.180217529183858,4.493622661358104,10,2,5.137503155467868,5.137503155467865,FALSE,FALSE
comm_635,11.298645413251482,11.356831150488333,8.876217048632833,8,3,5.518603128012767,5.518603128,FALSE,FALSE
comm_636,9.167015211921708,9.310535838278568,6.678643802470916,10,5,12.075189269603623,12.075189269603623,FALSE,FALSE
comm_637,9.287628585353577,9.157004397240462,8.64870837,10,3,3.833031232137551,3.833031232137551,FALSE,FALSE
comm_638,10.732879472962594,10.774843274127019,21.113378388891494,12,5,22.462061299088532,22.462061299088536,FALSE,FALSE
comm_639,9.915296364424666,9.674330593,6.822445249,11,3,3.901385835701179,3.901385835701179,FALSE,FALSE
comm_640,9.637576157748375,9.729103359004897,14.843231989894871,12,5,14.451093767330926,14.45109376733093,FALSE,FALSE
comm_641,9.929223043912785,9.882107258289318,7.345612107810827,8,5,23.394015245671056,23.394015245671056,FALSE,FALSE
comm_642,9.933336505702897,9.755445985923357,6.533358346244516,11,4,11.929307463851323,11.929307463851323,FALSE,FALSE
