Comm_name,t_switch,M0,n_present,n_producers,output,P_final,glv1_failed,glv2_failed
comm_195,9.375610135579931,3.0504614665246166,12,2,1.3274162334789514,1.3274162334789512,FALSE,FALSE
comm_196,14.158280420598553,3.0504614665246166,12,4,2.8254550746833975,2.825455074683397,FALSE,FALSE
comm_197,9.305560892,3.0504614665246166,11,7,8.244971322462305,8.244971322462305,FALSE,FALSE
comm_198,9.847385485574383,3.0504614665246166,11,3,4.9801498632599355,4.980149863259935,FALSE,FALSE
comm_199,10.309218115387573,3.0504614665246166,8,2,1.8506817192699443,1.8506817192699443,FALSE,FALSE
comm_200,9.539518251180516,3.0504614665246166,11,3,2.3615939544787827,2.3615939544787827,FALSE,FALSE
comm_201,9.132805524765764,3.0504614665246166,10,4,3.4510059327279317,3.4510059327279317,FALSE,FALSE
comm_202,9.888170353760572,3.0504614665246166,9,4,4.310178044213396,4.310178044213395,FALSE,FALSE
comm_203,9.758183023326028,3.0504614665246166,10,3,2.2585458732587185,2.258545873258719,FALSE,FALSE
comm_204,11.460306210547676,3.0504614665246166,12,6,3.832465552379281,3.832465552379281,FALSE,FALSE
comm_205,9.006179585764464,3.0504614665246166,8,2,3.688437019120672,3.688437019120672,FALSE,FALSE
comm_206,9.525512526,3.0504614665246166,12,6,7.265867769128088,7.265867769128089,FALSE,FALSE
comm_207,11.053616459719404,3.0504614665246166,9,2,3.719053168927874,3.7190531689278736,FALSE,FALSE
comm_208,9.629678451122937,3.0504614665246166,10,2,3.4886663555733106,3.4886663555733115,FALSE,FALSE
comm_209,10.776767804759425,3.0504614665246166,12,5,5.425661543880082,5.425661543880082,FALSE,FALSE
comm_210,9.570886810184792,3.0504614665246166,10,6,9.105581368944742,9.105581368944744,FALSE,FALSE
comm_211,10.487867558156468,3.0504614665246166,12,4,2.926791591488794,2.926791591488794,FALSE,FALSE
comm_212,8.906071681521086,3.0504614665246166,12,4,3.896824727593645,3.896824727593645,FALSE,FALSE
comm_213,9.090496749606864,3.0504614665246166,9,4,8.940066241229989,8.940066241229989,FALSE,FALSE
comm_214,10.384152077073567,3.0504614665246166,11,4,3.365427592439066,3.365427592439067,FALSE,FALSE
comm_215,9.440096253,3.0504614665246166,9,2,2.914668280349846,2.914668280349846,FALSE,FALSE
comm_216,9.267744876923183,3.0504614665246166,10,3,5.190571435,5.190571435,FALSE,FALSE
comm_217,11.882202146987218,3.0504614665246166,12,6,4.937802956833476,4.937802956833476,FALSE,FALSE
comm_218,8.868756833472345,3.0504614665246166,10,5,6.515771394811002,6.515771394811002,FALSE,FALSE
comm_219,11.988550019665336,3.0504614665246166,9,5,4.053035007956217,4.053035007956217,FALSE,FALSE
comm_220,8.666418848586828,3.0504614665246166,12,5,5.036234682996234,5.036234682996233,FALSE,FALSE
comm_221,11.347448083690962,3.0504614665246166,12,6,5.144535411543194,5.144535411543194,FALSE,FALSE
comm_222,10.207511894005542,3.0504614665246166,11,4,3.3412977926307756,3.341297792630775,FALSE,FALSE
comm_223,11.451366633934374,3.0504614665246166,9,3,2.429982625925253,2.429982625925253,FALSE,FALSE
comm_224,10.989572041827577,3.0504614665246166,8,3,2.022381745934605,2.022381745934605,FALSE,FALSE
comm_225,9.499594688856638,3.0504614665246166,11,4,4.754544732010483,4.754544732010484,FALSE,FALSE
comm_226,9.332137496,3.0504614665246166,11,5,4.111475693020824,4.111475693020824,FALSE,FALSE
comm_227,9.573178590839122,3.0504614665246166,10,5,10.084867900664872,10.084867900664872,FALSE,FALSE
comm_228,9.372722082765998,3.0504614665246166,10,7,9.456615316002262,9.456615316002264,FALSE,FALSE
comm_229,13.453026698309882,3.0504614665246166,10,3,2.1951768114290218,2.195176811429022,FALSE,FALSE
comm_230,9.939594114408733,3.0504614665246166,10,5,8.382167493484236,8.382167493484236,FALSE,FALSE
comm_231,9.116667664493702,3.0504614665246166,9,5,7.218881233972087,7.218881233972086,FALSE,FALSE
comm_232,9.499957732,3.0504614665246166,8,4,5.974129368730749,5.974129368730749,FALSE,FALSE
comm_233,11.892865772184347,3.0504614665246166,10,3,3.1866153390623486,3.1866153390623486,FALSE,FALSE
comm_234,10.76013589150814,3.0504614665246166,10,6,4.810185188646397,4.810185188646398,FALSE,FALSE
comm_235,10.53464590932706,3.0504614665246166,11,2,0.4439993901526715,0.4439993901526715,FALSE,FALSE
comm_236,10.81900804640394,3.0504614665246166,11,4,2.062606763998031,2.0626067639980312,FALSE,FALSE
comm_237,10.515943693189488,3.0504614665246166,11,3,2.9580289202178367,2.9580289202178367,FALSE,FALSE
comm_238,9.687703216344602,3.0504614665246166,12,3,4.219847115020983,4.219847115020983,FALSE,FALSE
comm_239,9.439836641,3.0504614665246166,10,2,0.9674560440686244,0.9674560440686244,FALSE,FALSE
comm_240,9.645153367,3.0504614665246166,11,4,6.968373869893875,6.968373869893876,FALSE,FALSE
comm_241,10.02987745610018,3.0504614665246166,10,4,1.72453895,1.72453895,FALSE,FALSE
comm_242,9.352002879,3.0504614665246166,11,6,4.280635379762638,4.2806353797626375,FALSE,FALSE
comm_243,9.843141534789869,3.0504614665246166,8,3,2.6412115307919244,2.641211530791924,FALSE,FALSE
comm_244,9.505687722771375,3.0504614665246166,12,4,4.3811215360289735,4.3811215360289735,FALSE,FALSE
comm_245,11.548533017521844,3.0504614665246166,11,7,6.833197712991936,6.833197712991936,FALSE,FALSE
comm_246,10.529279414212546,3.0504614665246166,10,3,4.188450827578656,4.188450827578656,FALSE,FALSE
comm_247,9.978750522083711,3.0504614665246166,8,3,2.640444694975939,2.6404446949759395,FALSE,FALSE
comm_248,9.434783478157495,3.0504614665246166,12,4,2.196933062931463,2.196933062931463,FALSE,FALSE
comm_249,9.344149024,3.0504614665246166,12,4,5.814181075778948,5.814181075778948,FALSE,FALSE
comm_250,9.903114019093891,3.0504614665246166,12,6,5.77718197,5.77718197,FALSE,FALSE
comm_251,9.811096552832044,3.0504614665246166,12,6,7.4565392878668115,7.456539287866811,FALSE,FALSE
comm_252,9.289201585948494,3.0504614665246166,11,5,6.026993678747772,6.026993678747772,FALSE,FALSE
comm_253,10.341896901075712,3.0504614665246166,9,6,5.480105832923053,5.480105832923054,FALSE,FALSE
comm_254,9.375029663496289,3.0504614665246166,10,5,4.500316666165189,4.500316666,FALSE,FALSE
